rank,Status_name,Youtuber,subscribers,video_views,category,uploads,Country,Abbreviation,video_views_rank,country_rank,channel_type_rank,video_views_for_the_last_30_days,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,subscribers_for_last_30_days,created_year,created_month,created_day,Created_month_number,Created_date
1,ok,T-Series,245000000,228000000000,Music,20082,India,IN,1,1,1,2258000000,564600,9000000,6800000,108400000,2000000,2006,Mar,13,3,3/13/2006
2,ok,YouTube Movies,170000000,0,Film & Animation,1,United States,US,4055159,7670,7423,12,0,0.05,0.04,0.58,,2006,Mar,5,3,3/5/2006
3,ok,MrBeast,166000000,28368841870,Entertainment,741,United States,US,48,1,1,1348000000,337000,5400000,4000000,64700000,8000000,2012,Feb,20,2,2/20/2012
4,ok,Cocomelon - Nursery Rhymes,162000000,164000000000,Education,966,United States,US,2,2,1,1975000000,493800,7900000,5900000,94800000,1000000,2006,Sep,1,9,9/1/2006
5,ok,SET India,159000000,148000000000,Shows,116536,India,IN,3,2,2,1824000000,455900,7300000,5500000,87500000,1000000,2006,Sep,20,9,9/20/2006
6,ok,Music,119000000,0,,0,,,4057944,,,,0,0,0,0,,2013,Sep,24,9,9/24/2013
7,corrupted,��� Kids Diana Show,112000000,93247040539,People & Blogs,1111,United States,US,5,3,3,731674000,182900,2900000,2200000,35100000,,2015,May,12,5,5/12/2015
8,ok,PewDiePie,111000000,29058044447,Gaming,4716,Japan,JP,44,1,4,39184000,9800,156700,117600,1900000,,2010,Apr,29,4,4/29/2010
9,ok,Like Nastya,106000000,90479060027,People & Blogs,493,Russia,RU,630,5,25,48947000,12200,195800,146800,2300000,100000,2016,Jan,14,1,1/14/2016
10,ok,Vlad and Niki,99800000,77180169894,Entertainment,574,United States,US,8,5,6,580574000,145100,2300000,1700000,27900000,600000,2018,Apr,23,4,4/23/2018
11,ok,Zee Music Company,96700000,57856289381,Music,8548,India,IN,12,3,2,803613000,200900,3200000,2400000,38600000,1100000,2014,Mar,12,3,3/12/2014
12,ok,WWE,96000000,77428473662,Sports,70127,United States,US,7,6,1,714614000,178700,2900000,2100000,34300000,600000,2007,May,11,5,5/11/2007
13,ok,Gaming,93600000,0,,0,,,4057944,,1,,0,0,0,0,,2013,Dec,15,12,12/15/2013
14,ok,BLACKPINK,89800000,32144597566,People & Blogs,543,South Korea,KR,32,1,3,498930000,124700,2000000,1500000,23900000,700000,2016,Jun,29,6,6/29/2016
15,ok,Goldmines,86900000,24118230580,Film & Animation,1,,,4056562,,5663,18,0,0.07,0.05,0.86,,2006,Aug,15,8,8/15/2006
16,ok,Sony SAB,83000000,101000000000,Shows,71270,India,IN,4,5,7,1657000000,414300,6600000,5000000,79600000,1100000,2007,Aug,4,8,8/4/2007
17,ok,5-Minute Crafts,80100000,26236790209,Howto & Style,1,United Kingdom,GB,4057901,4797,6781,1,0,0,0,0.05,,2020,Jul,27,7,7/27/2020
18,ok,BANGTANTV,75600000,20826993957,Music,2281,South Korea,KR,112,2,4,168290000,42100,673200,504900,8100000,400000,2012,Dec,17,12,12/17/2012
19,ok,Sports,75000000,0,,3,United States,US,3898122,6266,5395,16,0,0.06,0.05,0.77,,2006,Jan,30,1,1/30/2006
20,ok,Justin Bieber,71600000,30608119724,Music,249,Canada,CA,38,1,6,176326000,44100,705300,529000,8500000,100000,2007,Jan,15,1,1/15/2007
21,ok,HYBE LABELS,71300000,28634566938,Music,1337,South Korea,KR,46,3,5,598173000,149500,2400000,1800000,28700000,900000,2008,Jun,4,6,6/4/2008
22,ok,Zee TV,70500000,73139054467,Entertainment,129204,India,IN,9,6,8,1707000000,426800,6800000,5100000,81900000,900000,2005,Dec,11,12,12/11/2005
23,ok,Pinkfong Baby Shark - Kids' Songs & Stories,68200000,38843229963,Education,2865,United States,US,23,8,2,473387000,118300,1900000,1400000,22700000,600000,2011,Dec,14,12,12/14/2011
24,ok,Canal KondZilla,66500000,36775585925,Music,2572,Brazil,BR,25,1,7,447223000,0,0,0,0,,2012,Mar,21,3,3/21/2012
25,ok,ChuChu TV Nursery Rhymes & Kids Songs,65900000,45757850229,Education,633,India,IN,18,7,3,420292000,105100,1700000,1300000,20200000,500000,2013,Feb,9,2,2/9/2013
26,ok,Shemaroo Filmi Gaane,65600000,28648024439,Music,8502,India,IN,47,8,8,254961000,63700,1000000,764900,12200000,400000,2010,Jun,11,6,6/11/2010
27,ok,Colors TV,64600000,61510906457,Shows,112915,India,IN,10,9,9,1188000000,296900,4800000,3600000,57000000,1100000,2008,Jun,13,6,6/13/2008
28,ok,T-Series Bhakti Sagar,61000000,29533230328,Music,13,India,IN,4053938,5803,5744,10,0,0.04,0.03,0.48,,2018,Aug,3,8,8/3/2018
29,ok,Dude Perfect,59500000,16241549158,Sports,389,United States,US,182,9,3,141200000,35300,564800,423600,6800000,100000,2009,Mar,17,3,3/17/2009
30,ok,Movieclips,59500000,59316472754,Film & Animation,39113,United States,US,11,9,3,114668000,28700,458700,344000,5500000,100000,2006,Apr,28,4,4/28/2006
31,ok,Tips Official,59300000,33431802698,Music,4741,India,IN,30,11,10,422634000,105700,1700000,1300000,20300000,600000,2007,May,22,5,5/22/2007
32,ok,El Reino Infantil,58400000,57271630846,Music,1510,Argentina,AR,13,1,11,611828000,153000,2400000,1800000,29400000,600000,2011,Jun,2,6,6/2/2011
33,ok,Wave Music,58000000,40602020243,Music,19487,India,IN,21,12,12,232025000,58000,928100,696100,11100000,500000,2014,Oct,29,10,10/29/2014
